Topic,Difficulty,Question,Option A,Option B,Option C,Option D,Correct Answer
Segregate even & odd nodes in a LL,Hard,"After segregation, if you want the odd nodes to appear first followed by the even nodes, how would you modify the standard algorithm?",Swap the roles of even and odd pointers,Reverse the final list,Sort the list first,It is not possible,A
Segregate even & odd nodes in a LL,Hard,Suppose you have a doubly linked list. How does the segregation algorithm change?,It becomes impossible,You need to update both 'next' and 'prev' pointers,It requires O(n^2) time,The algorithm remains exactly the same,B
Segregate even & odd nodes in a LL,Hard,"In a singly linked list, after segregation, how do you find the new head of the combined list?",It is always the original head,"It is the ""evenStart"" pointer","It is the ""oddStart"" pointer",It is whichever list (even or odd) appears first based on the desired order,D
Segregate even & odd nodes in a LL,Hard,"What is the main difference between ""segregating even/odd nodes"" and ""sorting the linked list""?",Segregation only groups by parity; sorting orders all elements,There is no difference,Sorting uses more memory,Segregation cannot be done in-place,A
Segregate even & odd nodes in a LL,Hard,"Given a list with a cycle, can the standard even-odd segregation algorithm be applied?","Yes, without any issues","Yes, but it will also detect the cycle","No, it will lead to an infinite loop","No, because cycles don't exist in linked lists",C
Segregate even & odd nodes in a LL,Hard,"If we want to segregate nodes such that all even nodes come first, but in reverse order of appearance, what is the most efficient approach?",Use a stack to store even nodes,Use the standard algorithm and then reverse the even sublist,Modify the standard algorithm to insert at the beginning of the even list,Use recursion,C
Sort the bitonic DLL,Easy,"What does the term ""bitonic"" mean in the context of a Doubly Linked List (DLL)?",The list contains only two unique values,The list first increases (strictly) and then decreases (strictly),The list is circular,The list has an even number of nodes,B
Sort the bitonic DLL,Easy,"In a bitonic DLL, how many ""peaks"" or ""inflection points"" does the sequence have?",Zero,One,Two,It depends on the data,B
Sort the bitonic DLL,Easy,Which of the following sequences represents a bitonic doubly linked list?,"1, 2, 3, 4, 5","5, 4, 3, 2, 1","1, 3, 5, 4, 2","2, 4, 1, 3, 5",C
Sort the bitonic DLL,Easy,What is a key advantage of sorting a bitonic DLL compared to sorting a random DLL?,It requires no comparisons,It can be sorted in O(log n) time,The inflection point provides a natural split into two sorted lists,It requires extra space for merging,C
Sort the bitonic DLL,Easy,"If a bitonic DLL is split at the point where the order changes (the peak), what is the nature of the two resulting lists?","One is sorted in ascending order, the other in descending order",Both are sorted in ascending order,Both are sorted in descending order,"One is random, the other is sorted",A
Sort the bitonic DLL,Easy,"To sort a bitonic DLL, which efficient algorithm is commonly applied after splitting it into two lists?",Bubble Sort,Insertion Sort,Merge,Quick Sort,C
Sort the bitonic DLL,Easy,What is the time complexity of the most efficient algorithm to sort a bitonic DLL?,O(n),O(n log n),O(n^2),O(log n),A
Sort the bitonic DLL,Easy,"In a DLL, what additional pointer does each node have compared to a Singly Linked List?",next,prev,random,child,B
Sort the bitonic DLL,Easy,Which property of a DLL is most helpful when sorting a bitonic list?,It uses less memory,It allows traversal in both directions,It has a head pointer,It has a tail pointer,B
Sort the bitonic DLL,Easy,What is the first step in the standard algorithm to sort a bitonic DLL?,Reverse the entire list,Find the node where the sequence stops increasing and starts decreasing,Split the list into two halves,Sort each half individually,B
Sort the bitonic DLL,Medium,"In a bitonic DLL, if you reverse the second part (the decreasing part), what do you get?",Another decreasing list,An increasing list,A random list,A circular list,B
Sort the bitonic DLL,Medium,"After finding the peak (the node where the sequence changes from increasing to decreasing) in a bitonic DLL, what are the heads of the two resulting lists?",Head of list1 = original head; Head of list2 = peak,Head of list1 = original head; Head of list2 = peak->next,Head of list1 = original head; Head of list2 = peak->prev,Head of list1 = peak; Head of list2 = peak->next,B
Sort the bitonic DLL,Medium,How do you find the peak (inflection point) in a bitonic DLL?,Traverse from head until you find a node whose next node's value is smaller,Traverse from head until you find a node whose value is greater than both its prev and next,Traverse from head until you find the smallest node,Traverse from head until you find a node with a NULL next,A
Sort the bitonic DLL,Medium,"After splitting a bitonic DLL into two lists (A: increasing, B: decreasing) and reversing list B, what is the state of the two lists?",Both are sorted in increasing order,Both are sorted in decreasing order,"A is increasing, B is decreasing","A is decreasing, B is increasing",A
Sort the bitonic DLL,Medium,"When merging two sorted DLLs into one sorted DLL, what is the typical time complexity?",O(n log n),O(n),O(n^2),O(log n),B
Sort the bitonic DLL,Medium,Consider a bitonic DLL: 1 <-> 3 <-> 5 <-> 4 <-> 2. What is the peak node?,1,3,5,4,C
Sort the bitonic DLL,Medium,"After splitting the bitonic DLL 1-3-5-4-2 at the peak and reversing the second part, what are the two lists to be merged?",1-3-5 and 4-2,1-3 and 5-4-2,1-3-5 and 2-4,1-3 and 2-4-5,C
Sort the bitonic DLL,Medium,"What is the space complexity of the algorithm that splits the bitonic DLL, reverses the second part, and merges the two sorted lists?",O(n),O(log n),O(1),O(n log n),C
Sort the bitonic DLL,Medium,"In a DLL, after reversing the second part of a bitonic list, what must be done to the 'prev' pointers of the nodes in that part?",They must be set to NULL,They must be updated to maintain the DLL structure,"Nothing, they remain correct",They must all point to the head,B
Sort the bitonic DLL,Medium,"If a bitonic DLL has all elements in strictly increasing order, what is the peak?",The first node,The last node,The middle node,There is no peak; the list is not bitonic,B
Sort the bitonic DLL,Hard,"In the standard algorithm for sorting a bitonic DLL, what is the primary challenge during the merging phase compared to merging two sorted arrays?",Maintaining the 'prev' pointers of the DLL,Deciding which element is smaller,Handling duplicate values,The merge requires O(n^2) time,A
Sort the bitonic DLL,Hard,"Given a bitonic DLL with n nodes, what is the maximum number of comparisons required to find the peak using a linear scan?",n/2,n-1,n,log n,C
Sort the bitonic DLL,Hard,"If you are not allowed to reverse the second half explicitly, how else can you achieve the merge of two sorted lists from a bitonic DLL?",Sort the second half using bubble sort,Traverse the second half from its tail (using prev pointers) as if it were increasing,Split the list into three parts,Use a hash table,B
Sort the bitonic DLL,Hard,Consider a bitonic DLL: 10 <-> 8 <-> 6 <-> 7 <-> 9. Is this list bitonic?,"Yes, because it first decreases then increases","No, because it decreases then increases (valley), not increases then decreases (peak).","Yes, because it has a peak","No, because it has a valley, not a peak",B
Sort the bitonic DLL,Hard,"After merging two sorted DLLs, how do you determine the new head of the fully sorted list?",It is always the head of the first list,It is the smaller of the two starting nodes of the lists to be merged,It is the tail of the merged list,It is the peak node,B
Sort the bitonic DLL,Hard,"What is the worst-case time complexity of sorting a bitonic DLL using the standard ""split, reverse, merge"" approach?",O(n^2),O(n log n),O(n),O(log n),C
Sort the bitonic DLL,Hard,"In a bitonic DLL, if the increasing part has 'x' nodes and the decreasing part has 'y' nodes, what is the total time for the ""reverse"" step?",O(x + y),O(x * y),"O(min(x, y))",O(1),A
Sort the bitonic DLL,Hard,How would the algorithm change if the bitonic DLL was defined as first decreasing and then increasing?,It would be impossible to sort,"You would find the ""valley"" instead of the peak, and reverse the first part",You would use Quick Sort instead of Merge,You would still find the peak,B
Sort the bitonic DLL,Hard,Which of the following is NOT a step in the efficient sorting of a bitonic DLL?,Finding the inflection point,Reversing one of the sublists,Merging two sorted sublists,Recursively sorting each sublist,D
Sort the bitonic DLL,Hard,"If you attempt to sort a bitonic DLL using a standard algorithm for random lists (e.g., insertion sort), what would be the time complexity in the worst case?",O(n log n),O(n),O(n^2),O(log n),C
Merge sort for DLL,Easy,What type of algorithm is Merge Sort?,Greedy Algorithm,Dynamic Programming,Divide and Conquer,Backtracking,C
Merge sort for DLL,Easy,"In the context of sorting a Doubly Linked List (DLL), what is a key advantage of Merge Sort over Quick Sort?",Merge Sort is always faster,Merge Sort has O(1) space complexity,Merge Sort offers better cache performance,Merge Sort has consistent O(n log n) worst-case time complexity,D
Merge sort for DLL,Easy,What is the first step in the Merge Sort algorithm for a DLL?,Merging the lists,Finding the middle node to split the list into two halves,Swapping adjacent elements,Comparing the first and last nodes,B
Merge sort for DLL,Easy,"In a DLL, why is finding the middle node easier than in a Singly Linked List?",Because DLLs are always sorted,Because you can traverse backwards from the tail,Using the slow and fast pointer technique works the same way,Because DLLs have a fixed size,C
Merge sort for DLL,Easy,"What is the time complexity of Merge Sort for a DLL in all cases (best, average, worst)?",O(n),O(n^2),O(n log n),O(log n),C
Merge sort for DLL,Easy,What is the space complexity of the recursive Merge Sort implementation for a DLL (excluding the recursion stack)?,O(n),O(log n),O(1),O(n log n),C
Merge sort for DLL,Easy,"In the merge step of two sorted DLLs, what is primarily compared to determine the order of nodes?",Memory addresses of nodes,Data values stored in nodes,Position of nodes in the original list,The color of nodes,B
Merge sort for DLL,Easy,"After splitting a DLL into two halves for Merge Sort, what should the last node of the first half point to?",The head of the second half,The first node of the first half,NULL,The tail of the second half,C
Merge sort for DLL,Easy,Which of the following is a necessary condition for Merge Sort to work on a DLL?,The DLL must be circular,The DLL must be bitonic,The DLL must be able to be split into two halves,The DLL must contain unique elements,C
Merge sort for DLL,Easy,"In a DLL with only one node, what happens during Merge Sort?",An error occurs,"The node is considered already sorted, and the function returns",The node is duplicated,The algorithm enters an infinite loop,B
Merge sort for DLL,Medium,What is the primary challenge when implementing Merge Sort on a DLL compared to an array?,More comparisons are needed,Difficulty in random access (finding middle and splitting),Higher time complexity,Cannot handle duplicate values,B
Merge sort for DLL,Medium,"In the split function for a DLL (to find the middle), if there are two middle nodes (even number of nodes), which one is typically chosen as the head of the second half?",The first middle node,The second middle node,Any node randomly,The tail node,B
Merge sort for DLL,Medium,"After merging two sorted DLLs, what additional pointers need to be updated compared to merging two sorted Singly Linked Lists?",Only the 'next' pointers,Only the 'prev' pointers,Both 'next' and 'prev' pointers,No pointers need updating,C
Merge sort for DLL,Medium,"Consider two sorted DLLs: List A: 1<->3<->5; List B: 2<->4<->6. During merging, after picking node '1' as the new head, what should node '1's 'prev' pointer point to?",Node '2',Node '3',NULL,Node '6',C
Merge sort for DLL,Medium,"In the recursive Merge Sort algorithm for DLL, when does the base case occur?",When the list has 100 nodes,When the list has 0 or 1 nodes,When the list is already sorted,When the list is empty,B
Merge sort for DLL,Medium,"If you forget to set the 'prev' pointer of the first node to NULL after merging, what could happen?",The list will be sorted in descending order,The list may become circular or cause incorrect backward traversal,The merge sort will be faster,"Nothing, it is not necessary",B
Merge sort for DLL,Medium,Why is Merge Sort often preferred for sorting linked lists over algorithms like Quick Sort?,Quick Sort cannot be implemented on linked lists,Merge Sort's merging step works naturally with linked lists without needing extra space for elements,Merge Sort has better best-case complexity,Quick Sort is unstable,B
Merge sort for DLL,Medium,"What is the role of the ""fast"" and ""slow"" pointer technique in Merge Sort for DLL?",To count the total nodes,To find the middle node to split the list,To reverse the list during merge,To detect loops before sorting,B
Merge sort for DLL,Medium,"Given a DLL: 4<->2<->5<->1<->3. After the first split in Merge Sort, what are the two sublists?",4<->2 and 5<->1<->3,4<->2<->5 and 1<->3,4 and 2<->5<->1<->3,4<->2<->5<->1 and 3,B
Merge sort for DLL,Medium,"In the merging step, if we are merging List A (1-3-5) and List B (2-4-6), how many pointer adjustments are needed to insert node '2' between node '1' and node '3'?",2,4,6,1,B
Merge sort for DLL,Hard,What is the maximum depth of the recursion stack for Merge Sort on a DLL with 'n' nodes in the worst case?,n,n/2,log n,n^2,C
Merge sort for DLL,Hard,"In an iterative (bottom-up) Merge Sort for a DLL, what is a major implementation challenge compared to the recursive version?",It cannot be implemented iteratively,It requires O(n) extra space,Managing the 'prev' pointers correctly for each merged segment,It has higher time complexity,C
Merge sort for DLL,Hard,Suppose you implement Merge Sort on a DLL but skip updating 'prev' pointers during the merge. What will be the consequence when the sorting is complete?,The list will be sorted correctly but backward traversal will be incorrect,The list will not be sorted,The 'next' pointers will also become corrupted,The algorithm will crash,A
Merge sort for DLL,Hard,How does the merge step for two sorted DLLs handle the scenario where one list becomes empty before the other?,It throws an error,It appends the remaining nodes of the non-empty list to the end of the merged list,It reverses the remaining list,It discards the remaining nodes,B
Merge sort for DLL,Hard,"What is the time complexity of the ""find middle"" operation in each recursive call of Merge Sort for a DLL?",O(1),O(n),O(log n),O(n log n),B
Merge sort for DLL,Hard,Which of the following correctly represents the recurrence relation for the time complexity of Merge Sort?,T(n) = 2T(n/2) + O(1),T(n) = T(n-1) + O(n),T(n) = 2T(n/2) + O(n),T(n) = T(n/2) + O(1),C
Merge sort for DLL,Hard,"In a DLL, after splitting the list into two halves, why must the last node of the left half be set to NULL?",To mark the end of the left sublist during recursion,To save memory,To prevent the merge function from traversing into the right half prematurely,Both A and C,D
Merge sort for DLL,Hard,"If a DLL contains a cycle, can the standard Merge Sort algorithm be applied?","Yes, but it will also break the cycle","Yes, with no modifications","No, because finding the middle will fail due to infinite loop","No, because cycles don't exist in DLLs",C
Merge sort for DLL,Hard,"In the merge step of two DLLs, how should 'next' and 'prev' pointers be updated to maintain list integrity?","Set 'next' pointers first, then set 'prev' pointers of the subsequent nodes","Set 'prev' pointers first, then 'next' pointers",Set 'next' and 'prev' simultaneously,Order does not matter,A
Merge sort for DLL,Hard,What is the primary advantage of using a DLL over a Singly Linked List for Merge Sort?,Faster sorting algorithm,Ability to easily traverse backwards during the merge step for debugging or alternative merge strategies,Lower time complexity,Lower space complexity,B
Minimum Stack,Easy,"What is the primary purpose of a ""Minimum Stack""?",To sort the elements in the stack,To retrieve the minimum element in O(1) time,To keep the stack size minimal,To implement a stack using arrays,B
Minimum Stack,Easy,"In a standard stack, what is the time complexity to find the minimum element if no special design is used?",O(1),O(log n),O(n),O(n log n),C
Minimum Stack,Easy,Which data structure is commonly used as an auxiliary space to implement a Minimum Stack?,Another stack,A queue,A linked list,An array,A
Minimum Stack,Easy,"In a Minimum Stack with an auxiliary stack, what does the auxiliary stack typically store?",All elements of the main stack,The maximum element so far,The minimum element encountered so far at each step,The top element of the main stack,C
Minimum Stack,Easy,"When pushing an element onto a Minimum Stack, when do you push onto the auxiliary stack?",Every time,Only when the element is smaller than or equal to the current minimum,Only when the element is larger than the current minimum,Only when the stack is empty,B
Minimum Stack,Easy,"When popping an element from a Minimum Stack, when do you pop from the auxiliary stack?",Every time,Only when the popped element is equal to the current minimum,Only when the popped element is greater than the current minimum,Never,B
Minimum Stack,Easy,What is the time complexity of the `getMin()` operation in a properly implemented Minimum Stack?,O(n),O(log n),O(1),O(n log n),C
Minimum Stack,Easy,What is the space complexity of the auxiliary stack approach for Minimum Stack in the worst case?,O(1),O(log n),O(n),O(n log n),C
Minimum Stack,Easy,"If a Minimum Stack is empty, what should `getMin()` typically return?",0,-1,NULL or throw an exception,The maximum integer value,C
Minimum Stack,Easy,Which stack operation does NOT affect the minimum element tracking in a Minimum Stack?,push(),pop(),top(),Both push() and pop(),C
Minimum Stack,Medium,"In the auxiliary stack approach, if duplicate minimum values are allowed, how should they be handled?",Store only unique minimums,Push to auxiliary stack only when element is strictly less than current min,Push to auxiliary stack when element is less than or equal to current min,Do not store duplicates to save space,C
Minimum Stack,Medium,"Consider the push sequence: 5, 3, 7, 3, 2. What will the auxiliary stack contain after these pushes?","5, 3, 3, 2","5, 3, 3, 3, 2","5, 3, 2002","5, 3, 7, 3, 2",A
Minimum Stack,Medium,What is an optimization to reduce space usage in a Minimum Stack when there are many duplicate minimum values?,Store the minimum value along with its frequency count,Use a hash table instead of a stack,Stop tracking minimum altogether,Use a single variable instead of a stack,A
Minimum Stack,Medium,"In the ""single variable"" approach (without auxiliary stack) for Minimum Stack, what is the main challenge?",It cannot handle pop operations correctly,It requires O(n^2) time,It requires encoding the previous minimum within the pushed element using mathematical tricks,It only works for integers,C
Minimum Stack,Medium,"In the encoding method for Minimum Stack, if `2*new_min - prev_min` is stored, what does this formula help achieve?",To find the maximum element,To retrieve the previous minimum after a pop,To sort the stack,To compress the data,B
Minimum Stack,Medium,What is a potential drawback of the encoding method (single variable approach) for Minimum Stack?,It has O(n) time complexity for getMin(),It cannot handle negative numbers,It may cause integer overflow issues,It requires an auxiliary stack,C
Minimum Stack,Medium,"Given a Minimum Stack with main stack: [5,3,7,2] (top is 2) and auxiliary stack: [5,3,2]. After one pop(), what are the new stacks?","Main: [5,3,7]; Aux: [5,3]","Main: [5,3,7]; Aux: [5,3,2]","Main: [5,3]; Aux: [5,3]","Main: [5,3,7]; Aux: [5]",A
Minimum Stack,Medium,Which of the following operations in a Minimum Stack requires comparison with the current minimum?,push() only,pop() only,both push() and pop(),Neither push() nor pop(),C
Minimum Stack,Medium,"In a Minimum Stack, if the auxiliary stack's top represents the current minimum, what does the second element in the auxiliary stack represent?",The maximum element,The previous minimum before the current one was pushed,The next greater element,The average of all elements,B
Minimum Stack,Medium,What is the main trade-off in the auxiliary stack approach for Minimum Stack?,Time vs. Code Complexity,Space vs. Time,Accuracy vs. Speed,Simplicity vs. Functionality,B
Minimum Stack,Hard,"In the encoding approach (single variable), if the stored value `x` is less than the current minimum, what does `x` represent?",The new minimum value,The previous minimum value encoded,The original element pushed,An error condition,B
Minimum Stack,Hard,"In the encoding method, if `2*new_min - prev_min` results in a value greater than the current min, what does the stored value represent?",The encoded previous minimum,The actual element pushed,The new minimum,The top of stack,B
Minimum Stack,Hard,What is a limitation of the encoding method when dealing with floating-point numbers?,It works perfectly,It requires more memory,The mathematical encoding may introduce precision errors,It becomes O(n) complexity,C
Minimum Stack,Hard,How would you extend a Minimum Stack to also support `getMax()` in O(1) time?,Use a single auxiliary stack for both min and max,"Use two separate auxiliary stacks (one for min, one for max)",Use a balanced binary search tree,It is impossible to support both,B
Minimum Stack,Hard,"In a multi-threaded environment, what additional consideration is needed for a Minimum Stack?",It must be made thread-safe with synchronization,It must use the encoding method,It cannot be implemented,The auxiliary stack must be avoided,A
Minimum Stack,Hard,"If you implement a Minimum Stack using a Min-Heap instead of an auxiliary stack, what would be the time complexity of `getMin()`?",O(1),O(log n),O(n),O(n log n),A
Minimum Stack,Hard,What would be the time complexity of `pop()` in the Min-Heap based approach for Minimum Stack?,O(1),O(log n),O(n),O(n log n),B
